Format Version,1.23,Take Name,Halo,Take Notes,,Capture Frame Rate,100.000702,Export Frame Rate,100.000702,Capture Start Time,2025-07-22 12.25.18.502 PM,Total Frames in Take,14479,Total Exported Frames,14479,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 2048,Active 2048,Active 2048,Active 2080,Active 2080,Active 2080,Active 2120,Active 2120,Active 2120,Active 2304,Active 2304,Active 2304,Active 2308,Active 2308,Active 2308,Active 256,Active 256,Active 256,Active 274,Active 274,Active 274,Active 289,Active 289,Active 289,Active 3144,Active 3144,Active 3144,Active 4,Active 4,Active 4,Active 548,Active 548,Active 548,Active 550,Active 550,Active 550
,ID,"8008D403B2A","8008D403B2A","8008D403B2A","8208D403B2A","8208D403B2A","8208D403B2A","8488D403B2A","8488D403B2A","8488D403B2A","9008D403B2A","9008D403B2A","9008D403B2A","9048D403B2A","9048D403B2A","9048D403B2A","1008D403B2A","1008D403B2A","1008D403B2A","1128D403B2A","1128D403B2A","1128D403B2A","1218D403B2A","1218D403B2A","1218D403B2A","C488D403B2A","C488D403B2A","C488D403B2A","48D403B2A","48D403B2A","48D403B2A","2248D403B2A","2248D403B2A","2248D403B2A","2268D403B2A","2268D403B2A","2268D403B2A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
22,0.219998,8.827460,0.488100,-13.774820,7.260444,0.999542,-3.353228,7.120274,0.954680,-2.863483,,,,,,,,,,,,,-8.902384,0.879359,-15.006148,,,,,,,,,,,,
23,0.229998,8.827557,0.488164,-13.774794,7.260433,0.999508,-3.353143,7.120299,0.954766,-2.863448,,,,,,,,,,,,,-8.902415,0.879458,-15.006186,,,,,,,,,,,,
24,0.239998,8.827510,0.488024,-13.774975,7.260368,0.999580,-3.353062,7.120328,0.954608,-2.863457,,,,,,,,,,,,,-8.902351,0.879496,-15.006095,,,,,,,,,,,,
25,0.249998,8.827458,0.487886,-13.775170,7.260306,0.999660,-3.352980,7.120357,0.954454,-2.863464,,,,,,,,,,,,,-8.902372,0.879684,-15.005931,,,,,,,,,,,,
26,0.259998,8.827394,0.487896,-13.774754,7.260293,0.999606,-3.353044,7.120277,0.954618,-2.863477,,,,,,,,,,,,,-8.902395,0.879875,-15.005760,,,,,,,,,,,,
27,0.269998,8.827401,0.487986,-13.774875,7.260386,0.999520,-3.353110,7.120271,0.954694,-2.863530,,,,,,,,,,,,,-8.902376,0.880092,-15.005942,,,,,,,,,,,,
28,0.279998,8.827483,0.488027,-13.774718,7.260313,0.999576,-3.353002,7.120242,0.954813,-2.863476,,,,,,,,,,,,,-8.902351,0.880029,-15.005723,,,,,,,,,,,,
29,0.289998,8.827428,0.488133,-13.774829,7.260253,0.999593,-3.353035,7.120209,0.954934,-2.863420,,,,,,,,,,,,,-8.902279,0.880190,-15.005782,,,,,,,,,,,,
30,0.299998,8.827419,0.488004,-13.774755,7.260314,0.999560,-3.353054,7.120217,0.954630,-2.863636,,,,,,,,,,,,,-8.902205,0.880409,-15.005716,,,,,,,,,,,,
31,0.309998,8.827413,0.488106,-13.774903,7.260379,0.999538,-3.353070,7.120272,0.954635,-2.863635,,,,,,,,,,,,,-8.902126,0.880636,-15.005654,,,,,,,,,,,,
32,0.319998,8.827390,0.487893,-13.774753,7.260128,0.999581,-3.353025,7.120324,0.954642,-2.863631,,,,,,,,,,,,,-8.902316,0.880369,-15.005618,,,,,,,,,,,,
33,0.329998,8.827419,0.488059,-13.774772,7.260189,0.999541,-3.353040,7.120171,0.954594,-2.863636,,,,,,,,,,,,,-8.902195,0.880492,-15.005506,,,,,,,,,,,,
34,0.339998,8.827338,0.488120,-13.774814,7.260266,0.999678,-3.353070,7.120138,0.954704,-2.863682,,,,,,,,,,,,,-8.902072,0.880619,-15.005381,,,,,,,,,,,,
35,0.349998,8.827276,0.487823,-13.774791,7.260234,0.999583,-3.352962,7.120196,0.954573,-2.863545,,,,,,,,,,,,,-8.902122,0.880601,-15.005033,,,,,,,,,,,,
36,0.359997,8.827490,0.488342,-13.774667,7.260095,0.999632,-3.352983,7.120131,0.954568,-2.863600,,,,,,,,,,,,,-8.902049,0.880513,-15.005003,,,,,,,,,,,,
