Format Version,1.23,Take Name,Beautiful_Things,Take Notes,,Capture Frame Rate,100.000702,Export Frame Rate,100.000702,Capture Start Time,2025-07-27 07.11.57.218 AM,Total Frames in Take,17990,Total Exported Frames,17990,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Active 1058,Active 1058,Active 1058,Active 2048,Active 2048,Active 2048,Active 2052,Active 2052,Active 2052,Active 2304,Active 2304,Active 2304,Active 256,Active 256,Active 256,Active 288,Active 288,Active 288,Active 512,Active 512,Active 512,Active 580,Active 580,Active 580
,ID,"4228D403B2A","4228D403B2A","4228D403B2A","8008D403B2A","8008D403B2A","8008D403B2A","8048D403B2A","8048D403B2A","8048D403B2A","9008D403B2A","9008D403B2A","9008D403B2A","1008D403B2A","1008D403B2A","1008D403B2A","1208D403B2A","1208D403B2A","1208D403B2A","2008D403B2A","2008D403B2A","2008D403B2A","2448D403B2A","2448D403B2A","2448D403B2A"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
24,0.239998,-1.888718,1.026752,-21.228971,,,,-6.262187,1.272952,-18.824982,-6.123641,1.207177,-18.781332,,,,,,,-2.221123,1.023576,-21.192627,-1.877702,1.012128,-21.273878
25,0.249998,-1.888787,1.027046,-21.228956,,,,-6.261789,1.273350,-18.824736,-6.123528,1.207191,-18.781307,,,,,,,-2.221224,1.023659,-21.192657,-1.877858,1.012322,-21.273920
26,0.259998,-1.888864,1.027352,-21.228920,,,,-6.261762,1.273191,-18.824810,-6.123587,1.207142,-18.781357,,,,,,,-2.221033,1.023591,-21.192663,-1.877062,1.011617,-21.274742
27,0.269998,-1.889184,1.027109,-21.228182,,,,-6.261818,1.273208,-18.824673,-6.123551,1.207070,-18.781374,,,,,,,-2.220902,1.022944,-21.192600,-1.876270,1.010916,-21.275562
28,0.279998,-1.888750,1.026949,-21.228878,,,,-6.261897,1.273156,-18.824423,-6.123481,1.207218,-18.781412,,,,,,,-2.221014,1.023456,-21.192665,-1.877791,1.012261,-21.273882
29,0.289998,-1.888785,1.026820,-21.229040,,,,-6.261786,1.273495,-18.824581,-6.123412,1.207373,-18.781452,,,,,,,-2.221019,1.023545,-21.192638,-1.877634,1.012188,-21.273901
30,0.299998,-1.889114,1.027168,-21.228174,,,,-6.261788,1.273152,-18.824398,-6.123416,1.207061,-18.781300,,,,,,,-2.221027,1.023645,-21.192606,-1.877470,1.012118,-21.273914
31,0.309998,-1.889447,1.027517,-21.227306,,,,-6.261793,1.273207,-18.824368,-6.123403,1.207266,-18.781292,,,,-5.439730,0.946972,2.350605,-2.221096,1.023302,-21.192696,-1.876966,1.011406,-21.274708
32,0.319998,-1.888872,1.026740,-21.228870,,,,-6.261801,1.273265,-18.824337,-6.123389,1.207471,-18.781284,,,,-5.439417,0.940423,2.351638,-2.222654,1.018921,-21.190577,-1.877532,1.011965,-21.273933
33,0.329998,-1.888730,1.026824,-21.228884,,,,-6.261890,1.273172,-18.824057,-6.123410,1.207070,-18.781261,,,,-5.439514,0.933340,2.352619,-2.221179,1.023580,-21.192734,-1.877780,1.012167,-21.273909
34,0.339998,-1.888599,1.026919,-21.228886,,,,-6.261905,1.273171,-18.824024,-6.123425,1.207285,-18.781147,,,,-5.439031,0.923455,2.354082,-2.221116,1.023825,-21.192831,-1.877012,1.011569,-21.274698
35,0.349998,-1.889198,1.027165,-21.228136,,,,-6.261922,1.273168,-18.823988,-6.123446,1.207185,-18.780973,,,,-5.438524,0.914805,2.355516,-2.221059,1.023652,-21.192724,-1.876248,1.010975,-21.275492
36,0.359997,-1.888774,1.026894,-21.228989,,,,-6.261891,1.273234,-18.823740,-6.123447,1.207163,-18.781054,,,,-5.438157,0.907783,2.355373,-2.220886,1.023392,-21.192638,-1.877524,1.011933,-21.273821
37,0.369997,-1.888882,1.026844,-21.228987,,,,-6.261999,1.273247,-18.823713,-6.123600,1.207279,-18.780878,,,,,,,-2.220839,1.023076,-21.192507,-1.877761,1.012142,-21.273802
38,0.379997,-1.888996,1.026807,-21.228991,,,,-6.262054,1.273161,-18.823462,-6.123706,1.207184,-18.780783,,,,,,,-2.221156,1.023351,-21.192497,-1.877078,1.011671,-21.274603
39,0.389997,-1.889156,1.027168,-21.228212,,,,-6.262073,1.273215,-18.823391,-6.123732,1.207139,-18.780710,,,,,,,-2.221172,1.023659,-21.192705,-1.876389,1.011200,-21.275396
40,0.399997,-1.888894,1.026940,-21.228949,,,,-6.262057,1.273254,-18.823360,-6.123785,1.207106,-18.780485,,,,,,,-2.221036,1.023566,-21.192673,-1.877775,1.012241,-21.273788
41,0.409997,-1.888824,1.026963,-21.229034,,,,-6.262202,1.273431,-18.823130,-6.123837,1.207080,-18.780256,,,,,,,-2.221117,1.023399,-21.192644,-1.877797,1.012151,-21.273890
42,0.419997,-1.889281,1.027065,-21.228161,,,,-6.262220,1.273197,-18.823019,-6.123950,1.207109,-18.780294,,,,,,,-2.221204,1.023236,-21.192616,-1.877816,1.012061,-21.273983
43,0.429997,-1.889741,1.027173,-21.227289,,,,-6.262323,1.273201,-18.822777,-6.124041,1.207331,-18.780157,,,,,,,-2.220994,1.023152,-21.192547,-1.877022,1.011539,-21.274626
44,0.439997,-1.888821,1.026918,-21.228928,,,,-6.262426,1.273208,-18.822531,-6.124131,1.207556,-18.780016,,,,,,,-2.223022,1.020085,-21.190889,-1.877564,1.012093,-21.273823
45,0.449997,-1.888865,1.026846,-21.228954,,,,-6.262379,1.273315,-18.822599,-6.124249,1.207484,-18.779947,,,,,,,-2.221119,1.023747,-21.192774,-1.877811,1.012279,-21.273928
46,0.459997,-1.888916,1.026783,-21.228968,,,,-6.262369,1.273473,-18.822613,-6.124168,1.207335,-18.779877,,,,,,,-2.220830,1.023141,-21.192612,-1.876999,1.011714,-21.274731
47,0.469997,-1.889297,1.027076,-21.228170,,,,-6.262358,1.273632,-18.822620,-6.124135,1.207326,-18.779839,,,,,,,-2.220827,1.023266,-21.192690,-1.876188,1.011145,-21.275547
48,0.479997,-1.888830,1.026856,-21.228966,,,,-6.262283,1.273356,-18.822685,-6.124302,1.207569,-18.779858,,,,,,,-2.221179,1.023519,-21.192671,-1.877632,1.012033,-21.273920
49,0.489997,-1.888881,1.026793,-21.229036,,,,-6.262405,1.273461,-18.822758,-6.124206,1.207428,-18.779791,,,,,,,-2.221227,1.023748,-21.192698,-1.877836,1.012093,-21.273932
